date,open,high,low,close,volume,average,barCount
2016-01-21 14:30:00+00:00,101.19,101.2,99.82,100.09,8045716.0,100.483,34630
2016-01-21 15:00:00+00:00,100.1,101.87,100.07,101.29,10740702.0,101.315,46997
2016-01-21 16:00:00+00:00,101.3,102.01,101.06,101.95,7574982.0,101.583,35460
2016-01-21 17:00:00+00:00,101.96,102.35,101.82,101.9,4429964.0,102.102,20265
2016-01-21 18:00:00+00:00,101.9,102.18,101.17,101.36,5010530.0,101.548,22404
2016-01-21 19:00:00+00:00,101.37,101.57,100.49,101.42,6858779.0,101.013,30966
2016-01-21 20:00:00+00:00,101.44,101.58,100.76,100.89,7195592.0,101.153,31891
2016-01-22 14:30:00+00:00,102.84,103.25,102.53,103.2,7326317.0,102.861,27728
2016-01-22 15:00:00+00:00,103.21,103.59,103.0,103.03,8090224.0,103.311,33424
2016-01-22 16:00:00+00:00,103.02,103.29,102.75,102.88,4186599.0,103.013,17689
2016-01-22 17:00:00+00:00,102.86,103.42,102.83,103.38,3037010.0,103.122,12031
2016-01-22 18:00:00+00:00,103.38,103.57,103.17,103.56,2348499.0,103.391,9826
2016-01-22 19:00:00+00:00,103.55,103.81,103.32,103.55,3776553.0,103.548,15529
2016-01-22 20:00:00+00:00,103.55,103.78,103.27,103.76,7733803.0,103.586,29456
2016-01-25 14:30:00+00:00,103.46,103.69,103.23,103.48,4591364.0,103.442,21155
2016-01-25 15:00:00+00:00,103.47,103.8,103.31,103.47,6048228.0,103.567,26796
2016-01-25 16:00:00+00:00,103.46,103.53,103.13,103.36,4621112.0,103.33,22798
2016-01-25 17:00:00+00:00,103.36,103.74,103.25,103.7,2068641.0,103.453,9714
2016-01-25 18:00:00+00:00,103.7,103.99,103.37,103.38,2863152.0,103.774,12610
2016-01-25 19:00:00+00:00,103.37,103.48,103.13,103.28,2727238.0,103.283,11115
2016-01-25 20:00:00+00:00,103.26,103.43,102.14,102.26,8490921.0,102.507,34072
2016-01-26 14:30:00+00:00,102.64,102.81,101.76,101.89,5780449.0,102.315,23893
2016-01-26 15:00:00+00:00,101.9,102.99,101.89,102.68,5663141.0,102.59,23808
2016-01-26 16:00:00+00:00,102.67,103.11,102.66,102.89,3782201.0,102.894,16593
2016-01-26 17:00:00+00:00,102.9,103.45,102.89,103.24,2894094.0,103.251,12503
2016-01-26 18:00:00+00:00,103.24,103.59,103.14,103.23,2518675.0,103.349,11196
2016-01-26 19:00:00+00:00,103.23,103.24,102.83,102.95,3353138.0,103.036,15491
2016-01-26 20:00:00+00:00,102.95,103.2,102.66,103.17,5117833.0,102.931,23215
2016-01-27 14:30:00+00:00,102.55,102.79,102.12,102.19,4841502.0,102.446,19180
2016-01-27 15:00:00+00:00,102.19,102.23,101.37,101.76,6543079.0,101.706,27712
2016-01-27 16:00:00+00:00,101.76,102.66,101.63,102.55,4416216.0,102.189,18262
2016-01-27 17:00:00+00:00,102.56,102.99,102.48,102.49,3945660.0,102.704,17713
2016-01-27 18:00:00+00:00,102.49,102.66,102.15,102.45,3817129.0,102.384,15416
2016-01-27 19:00:00+00:00,102.45,102.76,100.87,100.99,10509783.0,101.793,44512
2016-01-27 20:00:00+00:00,100.98,100.98,100.15,100.58,11597132.0,100.507,47855
2016-01-28 14:30:00+00:00,102.19,102.29,101.64,101.76,6219212.0,101.972,26347
2016-01-28 15:00:00+00:00,101.76,101.78,100.26,101.25,10297310.0,100.974,43748
2016-01-28 16:00:00+00:00,101.25,101.76,100.88,100.97,5032775.0,101.321,22166
2016-01-28 17:00:00+00:00,100.97,102.23,100.95,101.86,4806737.0,101.756,18958
2016-01-28 18:00:00+00:00,101.85,102.01,101.29,101.47,5043473.0,101.704,19922
2016-01-28 19:00:00+00:00,101.48,102.28,101.45,101.78,3265248.0,101.953,12785
2016-01-28 20:00:00+00:00,101.77,102.24,101.68,101.99,6151155.0,101.978,25808
2016-01-29 14:30:00+00:00,102.03,103.01,101.94,102.89,7043669.0,102.539,25843
2016-01-29 15:00:00+00:00,102.88,103.27,102.67,102.75,6620964.0,102.956,27840
2016-01-29 16:00:00+00:00,102.75,103.3,102.69,103.21,4730581.0,102.985,19842
2016-01-29 17:00:00+00:00,103.22,103.65,103.15,103.59,4014996.0,103.427,15891
2016-01-29 18:00:00+00:00,103.59,103.71,103.37,103.6,3328860.0,103.532,12665
2016-01-29 19:00:00+00:00,103.59,103.82,103.42,103.53,3363176.0,103.629,13030
2016-01-29 20:00:00+00:00,103.54,104.17,103.51,104.12,11209167.0,103.961,42043
2016-02-01 14:30:00+00:00,103.62,103.93,103.36,103.59,3708380.0,103.584,15772
2016-02-01 15:00:00+00:00,103.57,104.19,103.23,104.1,4768452.0,103.719,21163
2016-02-01 16:00:00+00:00,104.1,104.22,103.81,104.03,3027858.0,104.061,11625
2016-02-01 17:00:00+00:00,104.04,104.1,103.61,103.7,1852936.0,103.847,6595
2016-02-01 18:00:00+00:00,103.7,104.13,103.64,104.12,2821662.0,103.957,10679
2016-02-01 19:00:00+00:00,104.13,104.46,103.82,104.42,2976813.0,104.142,10579
2016-02-01 20:00:00+00:00,104.42,104.8,104.25,104.38,6245463.0,104.572,23408
2016-02-02 14:30:00+00:00,103.97,103.97,103.18,103.44,7179776.0,103.521,28491
2016-02-02 15:00:00+00:00,103.44,103.74,103.29,103.4,6103431.0,103.497,24904
2016-02-02 16:00:00+00:00,103.4,103.7,103.18,103.18,3707591.0,103.487,13928
2016-02-02 17:00:00+00:00,103.18,103.23,102.72,103.06,4074642.0,102.958,15617
2016-02-02 18:00:00+00:00,103.06,103.07,102.35,102.37,3476057.0,102.644,13003
2016-02-02 19:00:00+00:00,102.37,102.52,102.01,102.02,4489231.0,102.297,17078
2016-02-02 20:00:00+00:00,102.01,102.47,101.84,102.16,7896516.0,102.188,29473
2016-02-03 14:30:00+00:00,102.8,102.83,101.78,101.85,5169931.0,102.286,20745
2016-02-03 15:00:00+00:00,101.84,101.84,100.04,101.06,14204625.0,100.751,56882
2016-02-03 16:00:00+00:00,101.06,101.4,100.23,101.08,9242180.0,100.889,41664
2016-02-03 17:00:00+00:00,101.08,101.32,100.36,100.8,4873368.0,100.815,23376
2016-02-03 18:00:00+00:00,100.8,101.0,99.88,99.88,4253208.0,100.399,18330
2016-02-03 19:00:00+00:00,99.89,102.04,99.89,101.99,9695490.0,101.289,38926
2016-02-03 20:00:00+00:00,101.98,102.22,101.28,101.66,7298816.0,101.73,31991
2016-02-04 14:30:00+00:00,101.35,101.65,100.44,101.04,8389553.0,100.96,32783
2016-02-04 15:00:00+00:00,101.02,102.46,100.54,102.29,11049517.0,101.684,46421
2016-02-04 16:00:00+00:00,102.28,102.31,100.87,100.96,5854795.0,101.345,23624
2016-02-04 17:00:00+00:00,101.01,101.75,100.87,101.38,4130424.0,101.365,16968
2016-02-04 18:00:00+00:00,101.38,101.89,101.1,101.25,3518796.0,101.526,14865
2016-02-04 19:00:00+00:00,101.26,101.32,100.73,101.3,4734751.0,101.055,18674
2016-02-04 20:00:00+00:00,101.32,101.71,100.95,101.64,5480422.0,101.433,23660
2016-02-05 14:30:00+00:00,101.29,101.33,100.04,100.15,6520180.0,100.556,24043
2016-02-05 15:00:00+00:00,100.15,100.43,99.19,99.23,9878424.0,99.828,39972
2016-02-05 16:00:00+00:00,99.24,99.35,98.4,98.93,9347453.0,98.849,37783
2016-02-05 17:00:00+00:00,98.92,99.12,98.54,98.76,5110659.0,98.879,22826
2016-02-05 18:00:00+00:00,98.76,98.89,98.1,98.27,6224663.0,98.523,26150
2016-02-05 19:00:00+00:00,98.28,98.4,97.79,98.03,6548206.0,98.033,27509
2016-02-05 20:00:00+00:00,98.04,98.33,97.72,98.13,12162482.0,98.004,45469
2016-02-08 14:30:00+00:00,96.33,96.56,95.8,96.23,12992288.0,96.177,50959
2016-02-08 15:00:00+00:00,96.23,96.57,95.61,95.79,13229696.0,96.093,55980
2016-02-08 16:00:00+00:00,95.78,95.96,95.15,95.9,11155808.0,95.538,43077
2016-02-08 17:00:00+00:00,95.9,96.32,95.71,95.8,6381237.0,96.014,26139
2016-02-08 18:00:00+00:00,95.81,95.85,95.06,95.11,6265448.0,95.378,25122
2016-02-08 19:00:00+00:00,95.1,95.44,94.84,95.07,6670590.0,95.102,27197
2016-02-08 20:00:00+00:00,95.06,97.05,95.02,96.61,18450228.0,96.17,71289
2016-02-09 14:30:00+00:00,95.36,97.36,95.18,96.89,11156708.0,96.376,42187
2016-02-09 15:00:00+00:00,96.88,97.78,95.93,95.99,12443362.0,96.884,50497
2016-02-09 16:00:00+00:00,95.99,97.01,95.94,96.24,6868210.0,96.548,28778
2016-02-09 17:00:00+00:00,96.24,96.57,95.77,95.85,5799177.0,96.141,24181
2016-02-09 18:00:00+00:00,95.84,95.92,95.25,95.81,6480131.0,95.559,25091
2016-02-09 19:00:00+00:00,95.81,96.93,95.79,96.78,7113939.0,96.432,28139
2016-02-09 20:00:00+00:00,96.77,97.54,96.16,96.31,11633412.0,96.789,48389
2016-02-10 14:30:00+00:00,97.51,97.98,97.03,97.95,6968397.0,97.42,27434
